Epoch	Test Loss	Test Accuracy
1	0.3480	89.21
2	0.1746	94.92
3	0.1373	95.86
4	0.0945	97.27
5	0.0797	97.58
6	0.0733	97.80
7	0.0602	97.97
8	0.0655	97.80
9	0.0609	98.12
10	0.0491	98.43
11	0.0464	98.46
12	0.0436	98.51
13	0.0469	98.47
14	0.0413	98.47
15	0.0414	98.63
16	0.0366	98.79
17	0.0392	98.71
18	0.0375	98.84
19	0.0378	98.71
20	0.0330	98.92
21	0.0400	98.72
22	0.0319	98.83
23	0.0352	98.82
24	0.0326	98.88
25	0.0343	98.76
26	0.0320	99.01
27	0.0332	98.88
28	0.0345	98.89
29	0.0368	98.76
30	0.0411	98.70
31	0.0315	98.96
32	0.0333	98.92
33	0.0316	99.02
34	0.0325	98.98
35	0.0343	98.86
36	0.0352	98.88
37	0.0310	98.99
38	0.0324	99.00
39	0.0338	98.91
40	0.0328	99.02
41	0.0359	98.91
42	0.0336	98.88
43	0.0344	98.95
44	0.0334	98.93
45	0.0370	98.85
46	0.0365	98.85
47	0.0343	98.90
48	0.0329	99.03
49	0.0320	98.99
50	0.0330	98.95
