Epoch	Test Loss	Test Accuracy
1	0.7600	80.36
2	0.4680	87.16
3	0.3866	89.04
4	0.3507	89.93
5	0.3313	90.52
6	0.3174	90.71
7	0.3094	91.19
8	0.3001	91.48
9	0.2937	91.75
10	0.2897	91.70
11	0.2853	92.07
12	0.2823	92.01
13	0.2760	92.24
14	0.2729	92.26
15	0.2694	92.48
16	0.2669	92.41
17	0.2653	92.38
18	0.2606	92.64
19	0.2590	92.77
20	0.2577	92.74
21	0.2549	92.72
22	0.2526	92.83
23	0.2495	92.81
24	0.2495	92.85
25	0.2483	92.99
26	0.2456	93.06
27	0.2429	93.09
28	0.2428	93.20
29	0.2405	93.00
30	0.2404	93.18
31	0.2387	93.23
32	0.2368	93.31
33	0.2354	93.31
34	0.2334	93.30
35	0.2343	93.30
36	0.2323	93.52
37	0.2310	93.40
38	0.2325	93.32
39	0.2302	93.45
40	0.2297	93.38
41	0.2291	93.39
42	0.2267	93.50
43	0.2260	93.47
44	0.2253	93.67
45	0.2233	93.59
46	0.2243	93.69
47	0.2223	93.58
48	0.2206	93.65
49	0.2206	93.67
50	0.2199	93.73
