Epoch	Test Loss	Test Accuracy
1	0.5999	86.72
2	0.4752	88.47
3	0.4256	89.19
4	0.3971	89.69
5	0.3786	89.95
6	0.3646	90.22
7	0.3544	90.49
8	0.3463	90.73
9	0.3399	90.86
10	0.3338	90.94
11	0.3289	91.03
12	0.3255	91.09
13	0.3211	91.26
14	0.3182	91.29
15	0.3149	91.38
16	0.3132	91.48
17	0.3103	91.49
18	0.3081	91.66
19	0.3065	91.64
20	0.3047	91.64
21	0.3027	91.72
22	0.3013	91.77
23	0.3000	91.78
24	0.2987	91.72
25	0.2978	91.85
26	0.2962	91.89
27	0.2952	91.83
28	0.2942	91.81
29	0.2931	91.86
30	0.2923	91.94
31	0.2915	91.96
32	0.2908	91.94
33	0.2899	92.00
34	0.2894	92.06
35	0.2888	91.99
36	0.2877	92.05
37	0.2873	92.00
38	0.2868	91.98
39	0.2861	92.04
40	0.2854	92.00
41	0.2849	92.04
42	0.2844	92.02
43	0.2840	92.07
44	0.2839	92.04
45	0.2831	92.10
46	0.2829	92.07
47	0.2825	92.15
48	0.2821	92.10
49	0.2812	92.07
50	0.2812	92.20
